Method Param,Pearson,Spearman,Kendall Tau,NMI,Num Segments
1e-10,0.9297316172003334,0.9302077057176915,0.801638202992237,0.8848208115602985,20.0
1e-09,0.7713750245697067,0.5780150376081694,0.45078076254088917,0.8860429780199888,12.0
1e-08,0.5945371297409726,0.7159959217856662,0.546642164578949,0.8856256670454589,4.0
1e-07,-0.4508258418077342,-0.3251141535950598,-0.2362691168985071,0.8856256670454589,13.0
1e-06,-0.32940168763590044,-0.06406070269039466,-0.0501928809089138,0.8882315529049526,9.0
1e-05,0.4303220655139073,0.5148521777625059,0.4090968777363621,0.886132848027883,12.0
0.0001,0.6707444480963325,0.9151458968074456,0.7850948605653062,0.8914993655759766,35.0
0.0002,0.7102005530481957,0.9145522333912623,0.7897469477431185,0.8896314930972506,33.0
0.0003,0.9703458715460008,0.9284773177113171,0.8057003021360318,0.8853412121954374,32.0
0.0004,0.9700415493472547,0.9301948945587524,0.8052272715293908,0.8839772219682115,29.0
0.0005,0.9708042423328219,0.9304034976068138,0.8089307676266948,0.888877402505468,27.0
0.0006,0.9722552248353697,0.9321258834351953,0.8114159334823048,0.888056341422922,25.0
0.0007,0.970045765454291,0.9335373842561768,0.8121380802424902,0.8872984593623551,25.0
0.0008,0.9704574291546013,0.9337695082611682,0.8139012732809148,0.8856256670454589,23.0
0.0009,0.9691227162883698,0.9308648249271292,0.8099388124968848,0.8856256670454589,22.0
0.001,0.9702293780270688,0.927909348958075,0.8034924210721195,0.8856256670454589,22.0
0.002,0.9691308896665648,0.930839264762412,0.809879671291153,0.8856256670454589,22.0
0.003,0.9716194412260645,0.9312787029788995,0.8075140230618812,0.8856256670454589,22.0
0.004,0.9706493954466359,0.928232127961237,0.8001213723454075,0.8856256670454589,22.0
0.005,0.9723087707393107,0.9286145473487396,0.8007127844027254,0.8856256670454588,22.0
0.006,0.9707883604997681,0.926265961444514,0.7958040643269866,0.8856256670454589,22.0
0.007,0.9738649873439492,0.9248316429705646,0.7947986638295461,0.8856256670454589,22.0
0.008,0.9723277123407558,0.9243971201703688,0.7950352286524733,0.8856256670454589,22.0
0.009,0.9698641054517896,0.9269007055349961,0.8000622311396757,0.8856256670454589,22.0
0.01,0.9751218327017944,0.924083188916532,0.7943255341836919,0.8856256670454589,22.0
0.02,0.9734694153524065,0.9265553156168918,0.7974600180874769,0.8856256670454589,22.0
0.03,0.9711373360909148,0.9271228823513858,0.7989385482307716,0.8856256670454589,22.0
0.04,0.9730512982732965,0.9271087914913494,0.8020730321345566,0.8856256670454589,22.0
0.05,0.9707815502268826,0.9294472188685718,0.801363337665775,0.8856256670454589,21.0
0.06,0.9642622360172,0.9244967392738828,0.7985837009963809,0.8856256670454589,22.0
0.07,0.9548279878561499,0.9192919688096974,0.7897716613423439,0.8856256670454589,22.0
0.08,0.9641049269659241,0.9313950344978055,0.8076914466790768,0.8856256670454589,22.0
0.09,0.9638314695234004,0.9303660740207205,0.8060946341243184,0.8856256670454589,22.0
0.1,0.9660882248342767,0.9277982605498803,0.8018364673116294,0.8856256670454589,22.0
0.2,0.9314862641791506,0.9220367372670428,0.7875834367302676,0.8856256670454589,23.0
0.3,0.8274931345593436,0.8877738089076207,0.7492411558973043,0.8849791115346923,25.0
0.4,0.7761450722881497,0.8786137653070998,0.7373536023325289,0.8849791115346923,21.0
0.5,0.5659226271305906,0.7862494734855988,0.6592269443272134,0.8849791115346923,17.0
0.6,0.9651484821047702,0.9449415745510691,0.8337671649480056,0.8853965112106262,17.0
0.7,0.9649069458486523,0.9439666833352856,0.8310465911166448,0.8853965112106262,17.0
0.8,0.9651188658414748,0.9440269791281274,0.8295680183822095,0.8853965112106262,17.0
0.9,0.967372355845165,0.9442666975604234,0.8320400364479794,0.8849791115346923,17.0
1.0,0.967344463092344,0.9442571944207098,0.8320400364479794,0.8849791115346923,18.0
2.0,0.7678320563838501,0.820149466705428,0.7124252250810221,0.8860429780199889,15.0
3.0,0.7888172889386867,0.8483038544178316,0.7192162029043166,0.8856256670454589,15.0
4.0,0.785042695931122,0.84439282152165,0.7119418345993063,0.8856256670454589,14.0
5.0,0.7850830366629751,0.8442165219239839,0.7117052697763792,0.8856256670454589,14.0
6.0,0.9219831905844573,0.9209186302146889,0.7751453770981583,0.8849791115346923,13.0
7.0,0.9218491903780367,0.9225009324737123,0.7788203495937117,0.8845205070818838,13.0
8.0,0.9220014865957753,0.9224737337881158,0.7786429080863048,0.8845205070818838,13.0
9.0,0.9220014865957753,0.9224737337881158,0.7786429080863048,0.8845205070818838,13.0
10.0,0.921993591012794,0.9220569057389768,0.7776669797955664,0.8849228160131272,13.0
