Method Param,Pearson,Spearman,Kendall Tau,NMI,Num Segments
0.0001,0.9367024032895537,0.9479336948167058,0.8046728711770933,0.9962309032110401,21.0
0.0002,0.939646252504632,0.9490178221394289,0.8078473735882385,0.9962309032110401,21.0
0.0003,0.939646252504632,0.9490178221394289,0.8078473735882385,0.9962309032110401,21.0
0.0004,0.939646252504632,0.9490178221394289,0.8078473735882385,0.9962309032110401,21.0
0.0005,0.928600849184672,0.936230221889336,0.784217877094972,0.9984947472897618,21.0
0.0006,0.9283223904434108,0.9367265701594585,0.786541819155144,0.9992482222501222,21.0
0.0007,0.9331377901608809,0.9381213571033592,0.7860339632589985,0.9992482222501222,21.0
0.0008,0.934897744441034,0.9382000864960738,0.7879384228695436,0.9992482222501222,21.0
0.0009,0.9629308644223659,0.9642499402881476,0.8397397242763716,0.9992482222501221,21.0
0.001,0.9215870733439431,0.9296456749878714,0.7753301168105636,0.9984947472897617,21.0
0.002,0.9497552592003037,0.9538278709498934,0.8165053170277208,0.9992482222501222,21.0
0.003,0.9346150372195439,0.9446314267522748,0.7947944774675062,0.9992482222501222,21.0
0.004,0.9489386190406814,0.9550609434655156,0.8196794163786294,0.9992482222501221,21.0
0.005,0.9286161768108168,0.9384522333349024,0.7881923508176164,0.9992482222501221,21.0
0.006,0.9522038558651668,0.9567632006052877,0.8224726238074289,0.9992482222501221,21.0
0.007,0.9411065600363049,0.9457825781430458,0.8027932078317958,0.9992482222501221,21.0
0.008,0.925313492257143,0.9344232034672044,0.7820980800638719,0.9992482222501221,21.0
0.009,0.939216887021171,0.9461028152674653,0.7947944774675062,0.9992482222501222,21.0
0.01,0.9420969109650449,0.9508329099852133,0.8097006638368145,0.9977407033246305,21.0
0.02,0.9622446725402174,0.9646042225553628,0.8387240124840809,0.9992482222501221,22.0
0.03,0.9522633596755314,0.9590032428015761,0.8249746063991874,0.9984947472897617,22.0
0.04,0.9548747199613019,0.9588186322882644,0.8236675876288875,0.9977407033246305,22.0
0.05,0.9581852966815227,0.963640280766472,0.8363647910762266,0.9977407033246305,22.0
0.06,0.958719666293444,0.9635966603808572,0.8349680986970194,0.9977407033246305,22.0
0.07,0.9487874437601195,0.9555625064505099,0.8186781808131631,0.9969860890636972,22.0
0.08,0.9409772445885263,0.9503206100053574,0.8080121913306808,0.9969860890636972,22.0
0.09,0.6153329824572352,0.930212665452205,0.7893467097363365,0.9969860890636972,21.0
0.1,0.7157000571078103,0.9423300651711893,0.8097520750349257,0.9962309032110401,21.0
0.2,0.5678566196478094,0.9046946248980504,0.754349212431135,0.995475144465823,20.0
0.3,0.09392227019585471,0.716021878454321,0.5759644623160284,0.9936760628273911,17.0
0.4,0.07688063711856025,0.7353951268520764,0.6026475377318108,0.9967011161090747,15.0
0.5,0.11789900081405429,0.7484365790515344,0.6220754924880195,0.9967011161090747,15.0
0.6,0.6581330660160647,0.8763526974156162,0.7022823226723257,0.9977407033246305,13.0
0.7,0.6581330660160647,0.8763526974156162,0.7022823226723257,0.9977407033246305,13.0
0.8,0.5072661663450564,0.8509420683436614,0.6697352562542116,0.9974559459612099,11.0
0.9,0.519184743491115,0.8698427593163903,0.6873829554327602,0.9992482222501221,6.0
1.0,0.7566917793423054,0.8602260703873905,0.676591017639671,0.9992482222501221,4.0
